القسم,التفرّع,اسم المنتج,الوحدة,السعر,السعر قبل الخصم,المخزون,إيموجي
السناكس والمشروبات,صلصات ومربّيات,كاتشب هاينز,قنينة 340غ,2500,3000,75,🍅
السناكس والمشروبات,صلصات ومربّيات,مايونيز هيلمنز,مرطبان 400غ,3000,,60,🥄
السناكس والمشروبات,صلصات ومربّيات,مربى المشمش فيتراك,مرطبان 450غ,2500,,55,🍑
السناكس والمشروبات,صلصات ومربّيات,معجون طماطم القطّاف,علبة 380غ,1250,1500,120,🍅
السناكس والمشروبات,آيس كريم والمزيد,آيس كريم كورنيتو فانيلا,قطعة 110مل,1500,,85,🍦
السناكس والمشروبات,آيس كريم والمزيد,آيس كريم ماغنوم كلاسيك,قطعة 100مل,2500,3000,50,🍨
السناكس والمشروبات,آيس كريم والمزيد,بوظة عائلية فستق,علبة 1لتر,4000,,40,🍨
السناكس والمشروبات,آيس كريم والمزيد,آيس كريم سندويش بسكويت,قطعة 120مل,1000,,70,🍦
الجمال والعناية الشخصية,الحمام والجسم,صابون لوكس وردي 170غ,قطعة,1000,,120,🧼
الجمال والعناية الشخصية,الحمام والجسم,شاور جل ديف منعش 250مل,عبوة,4500,5500,80,🧴
الجمال والعناية الشخصية,الحمام والجسم,صابون ديتول واقي 165غ,قطعة,1250,,150,🧼
الجمال والعناية الشخصية,الحمام والجسم,ليفة استحمام ناعمة,قطعة,1500,2000,60,🛁
الجمال والعناية الشخصية,العناية بالشعر,شامبو هيد اند شولدرز مضاد للقشرة 400مل,عبوة,6500,8000,90,🧴
الجمال والعناية الشخصية,العناية بالشعر,شامبو بانتين تطويل 600مل,عبوة,7000,,70,🧴
الجمال والعناية الشخصية,العناية بالشعر,صبغة شعر جارنييه بني غامق,علبة,5000,6000,50,💈
الجمال والعناية الشخصية,العناية بالشعر,بلسم صنصيلك ناعم 350مل,عبوة,4000,,65,🧴
الجمال والعناية الشخصية,البشرة والوجه,كريم نيفيا مرطب علبة زرقاء 100مل,علبة,4000,5000,100,🧴
الجمال والعناية الشخصية,البشرة والوجه,غسول وجه غارنييه فيتامين سي 100مل,عبوة,5500,7000,75,🧴
الجمال والعناية الشخصية,البشرة والوجه,كريم واقي شمس نيفيا SPF50,عبوة,9000,,40,🧴
الجمال والعناية الشخصية,البشرة والوجه,مرطب شفاه فازلين أصلي,قطعة,2000,2500,110,💄
الجمال والعناية الشخصية,التجميل والمكياج,أحمر شفاه ميبيلين مات أحمر,قطعة,7000,9000,55,💄
الجمال والعناية الشخصية,التجميل والمكياج,ماسكارا ميبيلين كولوسال أسود,قطعة,8000,,50,💄
الجمال والعناية الشخصية,التجميل والمكياج,كريم أساس لوريال ترو ماتش,عبوة,14000,17000,35,💄
الجمال والعناية الشخصية,التجميل والمكياج,محدد عيون كحل أسود سائل,قطعة,4500,,70,💄
الجمال والعناية الشخصية,العناية النسائية,فوط أولويز نهاري بأجنحة 10حبة,عبوة,2500,3000,130,🩷
الجمال والعناية الشخصية,العناية النسائية,فوط كوتكس ليلي طويل 8حبة,عبوة,2750,,95,🩷
الجمال والعناية الشخصية,العناية النسائية,غسول نسائي ديتول لطيف 250مل,عبوة,5000,6500,45,🧴
الجمال والعناية الشخصية,العناية النسائية,مزيل عرق نيفيا للنساء رول 50مل,عبوة,3500,,85,🧴
الجمال والعناية الشخصية,العناية بالطفل,حفّاظات مولفيكس مقاس 4 مجموعة كبيرة,عبوة,11000,13000,60,👶
الجمال والعناية الشخصية,العناية بالطفل,مناديل أطفال جونسون مبللة 64حبة,عبوة,3000,3750,120,🧻
الجمال والعناية الشخصية,العناية بالطفل,شامبو أطفال جونسون 200مل,عبوة,4500,,70,🧴
الجمال والعناية الشخصية,العناية بالطفل,كريم تسلخات سودوكريم 60غ,علبة,6000,7500,40,🧴
الجمال والعناية الشخصية,الصحة والدواء,بنادول أزرق 24 حبة,شريط,2000,,150,💊
الجمال والعناية الشخصية,الصحة والدواء,فيتامين سي 1000ملغ 20 حبة فوارة,علبة,4000,5000,90,💊
الجمال والعناية الشخصية,الصحة والدواء,معقّم يدين ديتول 250مل,عبوة,3000,4000,110,🧴
الجمال والعناية الشخصية,الصحة والدواء,كمامات طبية معقمة 50 حبة,علبة,3500,,80,😷
أساسيات المنزل,تنظيف المنزل,منظف أرضيات فلاش برائحة الليمون 2 لتر,عبوة 2 لتر,3500,4000,40,🧴
أساسيات المنزل,تنظيف المنزل,كلوركس مبيّض ومعقّم 1 لتر,عبوة 1 لتر,2000,,60,🧼
أساسيات المنزل,تنظيف المنزل,منظف زجاج ويندكس بخّاخ 500 مل,بخّاخ 500 مل,2500,3000,35,🪟
أساسيات المنزل,تنظيف المنزل,معجون جري مزيل الدهون 500 غرام,عبوة 500 غ,1750,,50,🫧
أساسيات المنزل,منظفات الغسيل,مسحوق غسيل تايد أوتوماتيك 3 كغم,كيس 3 كغم,9000,11000,30,🧺
أساسيات المنزل,منظفات الغسيل,مسحوق غسيل أريال أوتوماتيك 4.5 كغم,كيس 4.5 كغم,13000,15000,25,🧼
أساسيات المنزل,منظفات الغسيل,برسيل جل سائل للغسيل 2.7 لتر,عبوة 2.7 لتر,11000,,20,🫧
أساسيات المنزل,منظفات الغسيل,معطّر أقمشة داوني 1 لتر,عبوة 1 لتر,4500,5500,40,🌸
أساسيات المنزل,أدوات المطبخ والمائدة,سائل غسيل صحون فيري ليمون 750 مل,عبوة 750 مل,2750,3250,55,🍽️
أساسيات المنزل,أدوات المطبخ والمائدة,ورق ألمنيوم فويل 30 متر,لفّة 30 م,3000,,45,🧻
أساسيات المنزل,أدوات المطبخ والمائدة,أطباق ورقية مقاس وسط 50 قطعة,عبوة 50 قطعة,2500,3000,38,🍽️
أساسيات المنزل,أدوات المطبخ والمائدة,إسفنج جلي مع ليفة 6 قطع,عبوة 6 قطع,1500,,70,🧽
أساسيات المنزل,نفايات وأكياس,أكياس نفايات كبيرة سوداء 50 لتر 30 كيس,رول 30 كيس,2500,3000,50,🗑️
أساسيات المنزل,نفايات وأكياس,أكياس نفايات متوسطة مع رباط 30 لتر,رول 40 كيس,2000,,48,🛍️
أساسيات المنزل,نفايات وأكياس,أكياس حفظ طعام شفافة 100 كيس,عبوة 100 كيس,1750,,42,🥡
أساسيات المنزل,نفايات وأكياس,أكياس نفايات كبيرة جداً للحديقة 100 لتر,رول 20 كيس,3500,4500,28,🗑️
أساسيات المنزل,العناية بالحيوانات,طعام قطط ويسكاس بالتونة 400 غرام,علبة 400 غ,3000,3750,36,🐱
أساسيات المنزل,العناية بالحيوانات,طعام كلاب بيديغري لحم بقري 1.5 كغم,كيس 1.5 كغم,9000,11000,22,🐶
أساسيات المنزل,العناية بالحيوانات,رمل قطط معطّر متكتّل 5 لتر,كيس 5 لتر,4500,,30,🐾
أساسيات المنزل,العناية بالحيوانات,مكافآت قطط ويسكاس تمبتيشنز 60 غرام,كيس 60 غ,2000,2500,40,🐈
أساسيات المنزل,بطاريات وإضاءة,بطاريات إنرجايزر AA حجم كبير 4 قطع,عبوة 4 قطع,4000,5000,50,🔋
أساسيات المنزل,بطاريات وإضاءة,بطاريات دوراسيل AAA حجم صغير 4 قطع,عبوة 4 قطع,3750,,45,🔋
أساسيات المنزل,بطاريات وإضاءة,لمبة LED موفّرة للطاقة 12 واط ضوء أبيض,قطعة,2500,3500,60,💡
أساسيات المنزل,بطاريات وإضاءة,كشّاف يدوي LED قابل للشحن,قطعة,7500,9000,25,🔦
إلكترونيات ومستلزمات,سماعات وصوتيات,سماعة بلوتوث JBL Tune 510BT لاسلكية,قطعة,42000,52000,35,🎧
إلكترونيات ومستلزمات,سماعات وصوتيات,إيربودز Anker Soundcore Life P2,قطعة,38000,,40,🎧
إلكترونيات ومستلزمات,سماعات وصوتيات,مكبر صوت بلوتوث JBL Go 3 محمول,قطعة,33000,39000,28,🔊
إلكترونيات ومستلزمات,سماعات وصوتيات,سماعة سلكية Samsung بقابس 3.5 ملم,قطعة,7000,,80,🎧
إلكترونيات ومستلزمات,شواحن وكوابل,شاحن سريع Anker 20W بمنفذ USB-C,قطعة,18000,24000,50,🔌
إلكترونيات ومستلزمات,شواحن وكوابل,كيبل USB-C الى USB-C بطول متر,قطعة,6000,,120,🔌
إلكترونيات ومستلزمات,شواحن وكوابل,باور بانك Anker 10000 مللي أمبير,قطعة,35000,45000,30,🔋
إلكترونيات ومستلزمات,شواحن وكوابل,كيبل لايتننغ للايفون بطول متر,قطعة,9000,13000,70,🔌
إلكترونيات ومستلزمات,إكسسوارات الجوال,حافظة جوال شفافة سيليكون لـ iPhone 14,قطعة,8000,,60,📱
إلكترونيات ومستلزمات,إكسسوارات الجوال,واقي شاشة زجاجي مقوى Samsung Galaxy,قطعة,5000,8000,100,📱
إلكترونيات ومستلزمات,إكسسوارات الجوال,حامل جوال للسيارة مغناطيسي,قطعة,12000,16000,45,📲
إلكترونيات ومستلزمات,إكسسوارات الجوال,حامل جوال مكتبي قابل للطي,قطعة,6500,,55,📱
إلكترونيات ومستلزمات,ألعاب أطفال,مكعبات ليغو كلاسيك صندوق إبداعي,علبة,28000,35000,25,🧱
إلكترونيات ومستلزمات,ألعاب أطفال,دمية باربي بفستان,قطعة,18000,,30,🪆
إلكترونيات ومستلزمات,ألعاب أطفال,سيارة ألعاب بريموت كنترول للأطفال,قطعة,25000,32000,22,🚗
إلكترونيات ومستلزمات,ألعاب أطفال,مكعبات تركيب تعليمية ملونة للأطفال,علبة,14000,,40,🧩
إلكترونيات ومستلزمات,قرطاسية ومكتب,دفتر مدرسي 100 ورقة مسطّر,قطعة,1500,2000,150,📓
إلكترونيات ومستلزمات,قرطاسية ومكتب,علبة أقلام جاف Pilot أزرق 10 حبات,علبة,5000,,90,🖊️
إلكترونيات ومستلزمات,قرطاسية ومكتب,آلة حاسبة Casio علمية fx-991,قطعة,22000,28000,35,🧮
إلكترونيات ومستلزمات,قرطاسية ومكتب,علبة أقلام رصاص Staedtler 12 حبة,علبة,4000,,85,✏️
