القسم,التفرّع,اسم المنتج,الوحدة,السعر,السعر قبل الخصم,المخزون,إيموجي
البقالة والمطبخ,زيوت وسمن وبهارات,سمن نباتي اللذيذة,1 كغم,5000,6000,55,🧈
البقالة والمطبخ,زيوت وسمن وبهارات,سمن حيواني بلدي,500 غم,8000,,35,🧈
البقالة والمطبخ,زيوت وسمن وبهارات,بهار مشكل عراقي (سبع بهارات),200 غم,1500,2000,90,🌶️
البقالة والمطبخ,زيوت وسمن وبهارات,كركم مطحون,100 غم,1000,,85,🟡
البقالة والمطبخ,زيوت وسمن وبهارات,فلفل أحمر حار مطحون,100 غم,1250,,80,🌶️
البقالة والمطبخ,زيوت وسمن وبهارات,كمون مطحون,100 غم,1500,1750,78,🟤
البقالة والمطبخ,زيوت وسمن وبهارات,ملح طعام مكرر,1 كغم,500,,120,🧂
البقالة والمطبخ,زيوت وسمن وبهارات,معجون طماطم الطازج,650 غم,2000,2500,95,🥫
البقالة والمطبخ,ألبان وبيض وخبز,حليب سائل كامل الدسم النادي,1 لتر,1750,2000,85,🥛
البقالة والمطبخ,ألبان وبيض وخبز,لبن رائب عراقي,1 كغم,2000,,70,🥛
البقالة والمطبخ,ألبان وبيض وخبز,جبن مثلثات لافاش كير,8 قطع,2500,3000,60,🧀
البقالة والمطبخ,ألبان وبيض وخبز,جبن أبيض عكاوي,500 غم,4000,,50,🧀
البقالة والمطبخ,ألبان وبيض وخبز,قيمر عراقي طازج,250 غم,3500,4000,40,🥛
البقالة والمطبخ,ألبان وبيض وخبز,زبدة طبيعية لورباك,200 غم,3000,,45,🧈
البقالة والمطبخ,ألبان وبيض وخبز,بيض دجاج طازج,30 حبة,5000,6000,65,🥚
البقالة والمطبخ,ألبان وبيض وخبز,خبز صمون عراقي,5 حبات,1000,,100,🥖
البقالة والمطبخ,ألبان وبيض وخبز,خبز تنور (خبز الرقاق),حزمة,1500,,90,🫓
البقالة والمطبخ,ألبان وبيض وخبز,توست أبيض كامل,رغيف,1750,2000,75,🍞
البقالة والمطبخ,ألبان وبيض وخبز,كاشي شيدر مبشور,200 غم,3500,4000,42,🧀
البقالة والمطبخ,مخبوزات وبسكويت,صمون عراقي طازج - كيس 6 حبات,كيس,1000,,80,🥖
البقالة والمطبخ,مخبوزات وبسكويت,خبز توست أبيض - 600 غم,رغيف,1500,2000,60,🥖
البقالة والمطبخ,مخبوزات وبسكويت,بسكويت تيم تام شوكولاتة - 200 غم,علبة,3000,3500,50,🍪
البقالة والمطبخ,مخبوزات وبسكويت,بسكويت أوريو أصلي - 137 غم,علبة,1250,,120,🍪
البقالة والمطبخ,مخبوزات وبسكويت,ويفر لوكر فانيلا - 45 غم,قطعة,750,1000,150,🍪
البقالة والمطبخ,مخبوزات وبسكويت,بسكويت ماري بريتانيا - 200 غم,علبة,1000,,90,🍪
البقالة والمطبخ,مخبوزات وبسكويت,كيك صغير سوزي مغلّف - 12 حبة,علبة,4000,4500,40,🍰
البقالة والمطبخ,مخبوزات وبسكويت,كرواسون بالشوكولاتة - 5 حبات,كيس,3500,,35,🥐
البقالة والمطبخ,مخبوزات وبسكويت,بسكويت دايجستيف مكنتيز - 250 غم,علبة,2750,3000,55,🍪
البقالة والمطبخ,مخبوزات وبسكويت,كراكر سالين ملحي - 200 غم,علبة,1500,,70,🍪
البقالة والمطبخ,مخبوزات وبسكويت,كعك العيد بالتمر - 400 غم,علبة,5000,6000,25,🍪
البقالة والمطبخ,مكسرات وحبوب الفطور,كورن فليكس كيلوغز كلاسيك - 375 غم,علبة,4500,5000,45,🥜
البقالة والمطبخ,مكسرات وحبوب الفطور,حبوب نستله كوكو بوبس - 330 غم,علبة,5000,,40,🥜
البقالة والمطبخ,مكسرات وحبوب الفطور,شوفان كويكر سريع التحضير - 500 غم,علبة,3500,4000,60,🥜
البقالة والمطبخ,مكسرات وحبوب الفطور,لوز نيء مقشّر - 250 غم,كيس,6000,7000,50,🥜
البقالة والمطبخ,مكسرات وحبوب الفطور,كاجو محمّص مملّح - 250 غم,كيس,7500,,45,🥜
البقالة والمطبخ,مكسرات وحبوب الفطور,فستق حلبي محمّص - 250 غم,كيس,9000,10000,30,🥜
البقالة والمطبخ,مكسرات وحبوب الفطور,بزر دوّار الشمس مملّح - 300 غم,كيس,2000,,100,🥜
البقالة والمطبخ,مكسرات وحبوب الفطور,خلطة مكسرات فاخرة - 400 غم,علبة,8500,9500,35,🥜
البقالة والمطبخ,مكسرات وحبوب الفطور,جوز عين الجمل مقشّر - 200 غم,كيس,7000,,40,🥜
البقالة والمطبخ,مكسرات وحبوب الفطور,حبوب نستله فيتنس بالقمح - 375 غم,علبة,5500,6000,38,🥜
البقالة والمطبخ,مكسرات وحبوب الفطور,فول سوداني محمّص بقشره - 500 غم,كيس,2500,,85,🥜
البقالة والمطبخ,دجاج ولحوم وأسماك,دجاج كامل مجمّد سدية - 1.2 كغم,دجاجة,6500,7500,50,🍗
البقالة والمطبخ,دجاج ولحوم وأسماك,صدور دجاج مفروم بدون عظم - 1 كغم,كيس,8000,,45,🍗
البقالة والمطبخ,دجاج ولحوم وأسماك,أفخاذ دجاج طازجة - 1 كغم,كيلو,7000,8000,40,🍗
البقالة والمطبخ,دجاج ولحوم وأسماك,ناغتس دجاج سديا مجمّد - 750 غم,كيس,9000,,35,🍗
البقالة والمطبخ,دجاج ولحوم وأسماك,لحم غنم طازج مقطّع - 1 كغم,كيلو,18000,20000,25,🥩
البقالة والمطبخ,دجاج ولحوم وأسماك,لحم بقري مفروم طازج - 500 غم,علبة,9000,,40,🥩
البقالة والمطبخ,دجاج ولحوم وأسماك,كباب عراقي جاهز للشوي - 500 غم,علبة,10000,12000,30,🥩
البقالة والمطبخ,دجاج ولحوم وأسماك,سمك مزكوف طازج - 1 كغم,كيلو,12000,,20,🐟
البقالة والمطبخ,دجاج ولحوم وأسماك,تونة ريو ماري بالزيت - 185 غم,علبة,2000,2500,120,🐟
البقالة والمطبخ,دجاج ولحوم وأسماك,فيليه سمك سلمون مجمّد - 400 غم,علبة,14000,,18,🐟
البقالة والمطبخ,دجاج ولحوم وأسماك,روبيان مقشّر مجمّد - 500 غم,كيس,15000,17000,22,🐟
السناكس والمشروبات,شيبس وتسالي,شيبس ليز ملح خشن 80غ,كيس,1000,,120,🥔
السناكس والمشروبات,شيبس وتسالي,شيبس ليز بطعم الكاتشب 80غ,كيس,1000,1250,95,🍅
السناكس والمشروبات,شيبس وتسالي,دوريتوس ناتشو جبن 90غ,كيس,1500,,80,🧀
السناكس والمشروبات,شيبس وتسالي,برينجلز أصلي 165غ,علبة,3000,3500,60,🥫
السناكس والمشروبات,شيبس وتسالي,تشيتوس حار 75غ,كيس,1000,,110,🌶️
السناكس والمشروبات,شيبس وتسالي,شيبسي تماري بطعم الطماطة 70غ,كيس,750,,140,🍟
السناكس والمشروبات,شيبس وتسالي,فستق حلبي محمّص 200غ,كيس,5000,6000,45,🥜
السناكس والمشروبات,شيبس وتسالي,لوز مملّح محمّص 200غ,كيس,6000,,40,🌰
السناكس والمشروبات,شيبس وتسالي,بوشار جاهز بالزبدة 100غ,كيس,1250,,75,🍿
السناكس والمشروبات,شيبس وتسالي,بسكويت مالح كراكر 100غ,علبة,1000,1500,90,🍘
السناكس والمشروبات,حلويات وشوكولاتة,شوكولاتة جالاكسي حليب 80غ,لوح,2000,2500,100,🍫
السناكس والمشروبات,حلويات وشوكولاتة,كيت كات 4 أصابع,قطعة,1000,,150,🍫
السناكس والمشروبات,حلويات وشوكولاتة,سنيكرز 50غ,قطعة,1000,,160,🥜
السناكس والمشروبات,حلويات وشوكولاتة,كندر بوينو,قطعة,1500,,85,🍫
السناكس والمشروبات,حلويات وشوكولاتة,نوتيلا حلوة بالبندق 350غ,مرطبان,7000,8500,50,🍫
السناكس والمشروبات,حلويات وشوكولاتة,بسكويت أوريو أصلي 154غ,علبة,1500,,120,🍪
السناكس والمشروبات,حلويات وشوكولاتة,علكة تيك تاك نعناع,علبة,750,,130,🍬
السناكس والمشروبات,حلويات وشوكولاتة,حلقوم بالفستق 400غ,علبة,4000,5000,35,🍬
السناكس والمشروبات,حلويات وشوكولاتة,كيك مولتو شوكولاتة,قطعة,750,,110,🧁
السناكس والمشروبات,حلويات وشوكولاتة,ويفر لواكر فانيلا 45غ,قطعة,1000,,95,🍫
السناكس والمشروبات,مشروبات وعصائر,بيبسي 330مل,علبة,750,,200,🥤
السناكس والمشروبات,مشروبات وعصائر,كوكا كولا 1لتر,قنينة,1250,1500,150,🥤
السناكس والمشروبات,مشروبات وعصائر,سفن أب 330مل,علبة,750,,180,🥤
السناكس والمشروبات,مشروبات وعصائر,عصير راني مشمش 240مل,علبة,1000,,120,🧃
السناكس والمشروبات,مشروبات وعصائر,عصير سن توب برتقال 250مل,علبة,500,,140,🧃
السناكس والمشروبات,مشروبات وعصائر,ماء صحة 1.5لتر,قنينة,500,,300,💧
السناكس والمشروبات,مشروبات وعصائر,مشروب طاقة ريد بُل 250مل,علبة,2500,3000,70,⚡
السناكس والمشروبات,مشروبات وعصائر,شراب فيمتو مركّز 710مل,قنينة,4000,,55,🍷
السناكس والمشروبات,مشروبات وعصائر,عصير سيرا تفاح 1لتر,علبة,1500,2000,90,🧃
السناكس والمشروبات,مشروبات وعصائر,مشروب شعير باربيكان تفاح 330مل,علبة,1250,,85,🍺
السناكس والمشروبات,شاي وقهوة وحليب,شاي الغزالين أوراق سائبة 450غ,علبة,5000,6000,80,🍵
السناكس والمشروبات,شاي وقهوة وحليب,شاي ليبتون أكياس 100 كيس,علبة,4000,,75,🍵
السناكس والمشروبات,شاي وقهوة وحليب,قهوة نسكافيه كلاسيك 200غ,مرطبان,6000,7500,60,☕
السناكس والمشروبات,شاي وقهوة وحليب,نسكافيه 3في1 ظرف,ظرف,250,,250,☕
السناكس والمشروبات,شاي وقهوة وحليب,قهوة عربية بالهيل 250غ,كيس,3500,,50,☕
السناكس والمشروبات,شاي وقهوة وحليب,حليب بودرة نيدو 900غ,علبة,9000,11000,45,🥛
السناكس والمشروبات,شاي وقهوة وحليب,حليب طويل الأمد بوك 1لتر,علبة,1500,,130,🥛
السناكس والمشروبات,شاي وقهوة وحليب,حليب مكثّف محلّى 397غ,علبة,2000,2500,70,🥫
السناكس والمشروبات,شاي وقهوة وحليب,مبيّض قهوة كوفي ميت 400غ,علبة,3000,,65,🥛
السناكس والمشروبات,شاي وقهوة وحليب,قهوة تركية محمّصة 200غ,كيس,3000,3500,55,☕
السناكس والمشروبات,أطعمة فورية,شعيرية إندومي دجاج (كرتون 5 أكياس),كرتون,1500,1750,120,🍜
السناكس والمشروبات,أطعمة فورية,شعيرية إندومي خضار 80غ,كيس,350,,300,🍜
السناكس والمشروبات,أطعمة فورية,نودلز كوريا سريعة التحضير حار 120غ,كوب,1750,2000,80,🍲
السناكس والمشروبات,أطعمة فورية,شوربة عدس ماجي 65غ,كيس,750,,140,🥣
السناكس والمشروبات,أطعمة فورية,مكرونة كرافت بالجبن سريعة 200غ,علبة,3500,4000,60,🧀
السناكس والمشروبات,أطعمة فورية,بطاطا بيوريه ماجي 75غ,كيس,1250,,95,🥔
السناكس والمشروبات,أطعمة فورية,فول مدمس أمريكانا معلب 400غ,علبة,1500,1750,160,🫘
السناكس والمشروبات,أطعمة فورية,تونة ريو ماري بالزيت 160غ,علبة,2250,2500,110,🐟
السناكس والمشروبات,أطعمة فورية,شوربة دجاج نوميتو سريعة 60غ,كيس,500,,200,🍗
السناكس والمشروبات,أطعمة فورية,حمص بطحينة معلب الكويت 380غ,علبة,2000,,70,🫛
السناكس والمشروبات,صلصات ومربّيات,كاتشب هاينز 460غ,عبوة,2750,3000,130,🍅
السناكس والمشروبات,صلصات ومربّيات,مايونيز هيلمنز 400مل,عبوة,3250,3750,90,🥚
السناكس والمشروبات,صلصات ومربّيات,معجون طماطم القيصر 320غ,علبة,1000,,250,🍅
السناكس والمشروبات,صلصات ومربّيات,صلصة باربكيو أمريكان غاردن 510غ,عبوة,4000,4500,50,🍖
السناكس والمشروبات,صلصات ومربّيات,مربى مشمش فايف ستار 450غ,مرطبان,2250,,85,🍑
السناكس والمشروبات,صلصات ومربّيات,مربى فراولة فيرنا 350غ,مرطبان,2500,2750,75,🍓
السناكس والمشروبات,صلصات ومربّيات,عسل سدر طبيعي 500غ,مرطبان,9000,11000,40,🍯
السناكس والمشروبات,صلصات ومربّيات,صلصة حارّة تاباسكو 60مل,عبوة,3000,,65,🌶️
السناكس والمشروبات,صلصات ومربّيات,خردل أمريكان غاردن 226غ,عبوة,2750,,55,🌭
السناكس والمشروبات,صلصات ومربّيات,زبدة الفول السوداني سكيبي 340غ,مرطبان,4500,5000,48,🥜
السناكس والمشروبات,آيس كريم والمزيد,آيس كريم وول كورنيتو فانيلا,قطعة,1000,,200,🍦
السناكس والمشروبات,آيس كريم والمزيد,آيس كريم مغنوم كلاسيك,قطعة,1750,2000,150,🍫
السناكس والمشروبات,آيس كريم والمزيد,عبوة آيس كريم فانيلا عائلية 1 لتر,علبة,4000,4500,70,🍨
السناكس والمشروبات,آيس كريم والمزيد,آيس كريم ميرندا قمع شوكولاتة,قطعة,750,,180,🍦
السناكس والمشروبات,آيس كريم والمزيد,بوظة عربية بالفستق علبة 500مل,علبة,3500,,60,🍨
السناكس والمشروبات,آيس كريم والمزيد,آيس كريم سندويش بسكويت,قطعة,1250,1500,90,🍪
السناكس والمشروبات,آيس كريم والمزيد,مصاصة آيس كريم فراولة,قطعة,500,,250,🍓
السناكس والمشروبات,آيس كريم والمزيد,آيس كريم وول تويستر,قطعة,750,,140,🍧
السناكس والمشروبات,آيس كريم والمزيد,كيك آيس كريم شوكولاتة عائلي,علبة,7000,8000,30,🎂
السناكس والمشروبات,آيس كريم والمزيد,آيس كريم موكا علبة 750مل,علبة,5000,,45,☕
الجمال والعناية الشخصية,الحمام والجسم,صابون ديتول الأصلي 165غ,قطعة,1000,1250,120,🧼
الجمال والعناية الشخصية,الحمام والجسم,غسول الجسم لوكس بالورد 250مل,عبوة,3500,4000,80,🧴
الجمال والعناية الشخصية,الحمام والجسم,شاور جل دوف الأصلي 500مل,عبوة,5000,,65,🚿
الجمال والعناية الشخصية,الحمام والجسم,صابون لايف بوي الأحمر 120غ,قطعة,750,,150,🧼
الجمال والعناية الشخصية,الحمام والجسم,مزيل عرق ريكسونا للرجال 150مل,بخاخ,3000,3750,90,💨
الجمال والعناية الشخصية,الحمام والجسم,مزيل عرق نيفيا للنساء 150مل,بخاخ,3250,,85,💨
الجمال والعناية الشخصية,الحمام والجسم,ليفة استحمام طبيعية,قطعة,1500,2000,110,🧽
الجمال والعناية الشخصية,الحمام والجسم,صابون فيرنا بالخيار 100غ,قطعة,500,,200,🧼
الجمال والعناية الشخصية,الحمام والجسم,لوشن مرطب للجسم نيفيا 400مل,عبوة,6000,7000,55,🧴
الجمال والعناية الشخصية,الحمام والجسم,ملح حمام معطر باللافندر 300غ,كيس,2500,,40,🛁
الجمال والعناية الشخصية,العناية بالشعر,شامبو هيد آند شولدرز ضد القشرة 400مل,عبوة,5500,6500,95,🧴
الجمال والعناية الشخصية,العناية بالشعر,شامبو صانسيلك للشعر الناعم 350مل,عبوة,4000,,80,🧴
الجمال والعناية الشخصية,العناية بالشعر,بلسم بانتين للترطيب العميق 360مل,عبوة,5000,5750,70,🧴
الجمال والعناية الشخصية,العناية بالشعر,زيت الأرغان المغربي للشعر 100مل,عبوة,4500,,60,💧
الجمال والعناية الشخصية,العناية بالشعر,حمام كريم بالصبار 250مل,علبة,3000,3500,75,🪻
الجمال والعناية الشخصية,العناية بالشعر,جل تثبيت الشعر للرجال 250مل,علبة,2750,,100,💇
الجمال والعناية الشخصية,العناية بالشعر,صبغة شعر لوريال أسود طبيعي,علبة,4000,4750,50,🎨
الجمال والعناية الشخصية,العناية بالشعر,شامبو الأطفال جونسون بدون دموع 300مل,عبوة,4250,,65,👶
الجمال والعناية الشخصية,العناية بالشعر,سيروم مغذٍّ لأطراف الشعر 50مل,عبوة,3500,4250,45,💧
الجمال والعناية الشخصية,العناية بالشعر,فرشاة شعر مضادة للتشابك,قطعة,2000,,120,🪮
الجمال والعناية الشخصية,البشرة والوجه,غسول الوجه جارنييه بالفيتامين سي 100مل,عبوة,4500,5250,85,🧴
الجمال والعناية الشخصية,البشرة والوجه,كريم نيفيا المرطب الأزرق 150مل,علبة,3500,,110,🫙
الجمال والعناية الشخصية,البشرة والوجه,واقي شمس بيوديرما SPF50 50مل,عبوة,12000,14000,40,☀️
الجمال والعناية الشخصية,البشرة والوجه,ماسك طين منقّي للبشرة الدهنية 75مل,عبوة,3750,,60,🪨
الجمال والعناية الشخصية,البشرة والوجه,تونر ماء الورد الطبيعي 200مل,عبوة,2500,3000,90,🌹
الجمال والعناية الشخصية,البشرة والوجه,سيروم حمض الهيالورونيك للترطيب 30مل,عبوة,8000,,35,💧
الجمال والعناية الشخصية,البشرة والوجه,مناديل مزيل المكياج 25 منديل,عبوة,2000,2500,130,🧻
الجمال والعناية الشخصية,البشرة والوجه,كريم تفتيح للمنطقة الحساسة 50مل,علبة,5500,,50,🫙
الجمال والعناية الشخصية,البشرة والوجه,مقشّر الوجه بحبيبات المشمش 100مل,عبوة,3250,4000,70,🍑
الجمال والعناية الشخصية,البشرة والوجه,بلسم الشفاه ببرشتاين بالفازلين,قطعة,1500,,140,💋
الجمال والعناية الشخصية,التجميل والمكياج,كريم أساس مايبيلين فيت مي 30مل,عبوة,9000,11000,45,💄
الجمال والعناية الشخصية,التجميل والمكياج,مسكارا لوريال للرموش الكثيفة,قطعة,7000,,55,👁️
الجمال والعناية الشخصية,التجميل والمكياج,أحمر شفاه مات ميبلين أحمر كلاسيكي,قطعة,6500,8000,60,💋
الجمال والعناية الشخصية,التجميل والمكياج,بودرة ثابتة شفافة للوجه,علبة,5500,,50,💅
الجمال والعناية الشخصية,التجميل والمكياج,باليت ظلال عيون 12 لون,علبة,8500,10500,35,🎨
الجمال والعناية الشخصية,التجميل والمكياج,محدد عيون سائل أسود مقاوم للماء,قطعة,4000,,80,✏️
الجمال والعناية الشخصية,التجميل والمكياج,بلاشر وردي للخدود,علبة,5000,6000,40,🌸
الجمال والعناية الشخصية,التجميل والمكياج,طلاء أظافر جل لامع 12مل,قنينة,3000,,95,💅
الجمال والعناية الشخصية,التجميل والمكياج,قلم تحديد الحواجب بني,قطعة,3500,4250,70,✏️
الجمال والعناية الشخصية,التجميل والمكياج,مزيل طلاء الأظافر بالأسيتون 100مل,عبوة,1750,,120,🧴
الجمال والعناية الشخصية,العناية النسائية,فوط أولويز نهاري عادي 10 قطع,عبوة,1500,2000,40,🩸
الجمال والعناية الشخصية,العناية النسائية,فوط كوتكس ليلي طويل 8 قطع,عبوة,2250,,35,🌙
الجمال والعناية الشخصية,العناية النسائية,بلسم بانتين للترطيب 360مل,قنينة,4000,,45,💆‍♀️
الجمال والعناية الشخصية,العناية النسائية,كريم نيفيا للجسم 250مل,علبة,3500,4250,60,🧴
الجمال والعناية الشخصية,العناية النسائية,مزيل عرق دوف رول 50مل,قطعة,2750,,55,🌸
الجمال والعناية الشخصية,العناية النسائية,صابون لوكس وردي 120غم,قطعة,750,1000,80,🧼
الجمال والعناية الشخصية,العناية النسائية,غسول وجه غارنييه فيتامين سي 100مل,أنبوب,5000,6000,30,🍋
الجمال والعناية الشخصية,العناية النسائية,ماسكرا مايبيلين أسود,قطعة,7000,9000,25,👁️
الجمال والعناية الشخصية,العناية النسائية,أحمر شفاه لوريال مات أحمر,قطعة,8500,,20,💄
الجمال والعناية الشخصية,العناية النسائية,فرشاة ومشط شعر مع مرآة,طقم,3000,4000,28,💇‍♀️
الجمال والعناية الشخصية,العناية بالطفل,حفاضات بامبرز مقاس 3 ميغا 60 قطعة,عبوة,12000,14000,40,👶
الجمال والعناية الشخصية,العناية بالطفل,حفاضات مولفكس مقاس 4 جامبو 48 قطعة,عبوة,9500,11000,38,🧷
الجمال والعناية الشخصية,العناية بالطفل,مناديل بامبرز مبللة 64 قطعة,عبوة,2500,3000,60,🧻
الجمال والعناية الشخصية,العناية بالطفل,شامبو جونسون للأطفال 200مل,قنينة,3500,4250,45,🍼
الجمال والعناية الشخصية,العناية بالطفل,كريم جونسون لتسلخات الحفاض 100غم,أنبوب,4000,,35,🧴
الجمال والعناية الشخصية,العناية بالطفل,حليب نيدو فورتيفايد 400غم,علبة,5500,6500,50,🥛
الجمال والعناية الشخصية,العناية بالطفل,حليب سيميلاك للرضع مرحلة 1 400غم,علبة,11000,13000,30,🍼
الجمال والعناية الشخصية,العناية بالطفل,بودرة جونسون للأطفال 200غم,علبة,3000,,42,🌼
الجمال والعناية الشخصية,العناية بالطفل,رضّاعة أفنت مضادة للمغص 260مل,قطعة,7000,8500,25,🍼
الجمال والعناية الشخصية,العناية بالطفل,لهاية سيليكون للأطفال طقم 2 قطعة,طقم,2500,3500,33,👶
الجمال والعناية الشخصية,العناية بالطفل,سيريلاك قمح بالحليب 250غم,علبة,5000,6000,48,🥣
الجمال والعناية الشخصية,الصحة والدواء,بنادول إكسترا 24 حبة,شريط,2000,2500,70,💊
الجمال والعناية الشخصية,الصحة والدواء,بروفين 400 ملغم 20 حبة,شريط,1750,,65,💊
الجمال والعناية الشخصية,الصحة والدواء,ديتول مطهر سائل 250مل,قنينة,3500,4500,50,🧴
الجمال والعناية الشخصية,الصحة والدواء,معقم يدين كحولي جل 100مل,قنينة,1500,2000,80,🧼
الجمال والعناية الشخصية,الصحة والدواء,كمامات طبية 50 قطعة,علبة,3000,4000,55,😷
الجمال والعناية الشخصية,الصحة والدواء,ضمادات لاصقة جونسون 40 قطعة,علبة,2250,,45,🩹
الجمال والعناية الشخصية,الصحة والدواء,فيتامين سي فوار 1000ملغم 20 قرص,علبة,4000,5000,40,🍊
الجمال والعناية الشخصية,الصحة والدواء,شاش طبي معقم 10×10 سم 5 قطع,عبوة,1500,,48,🩹
الجمال والعناية الشخصية,الصحة والدواء,ميزان حرارة رقمي,قطعة,5000,7000,30,🌡️
الجمال والعناية الشخصية,الصحة والدواء,شراب فيكس للسعال 100مل,قنينة,3000,3750,38,🤧
الجمال والعناية الشخصية,الصحة والدواء,قطن طبي 100غم,عبوة,1250,,52,☁️
أساسيات المنزل,تنظيف المنزل,فلاش مطهّر أرضيات برائحة الليمون 1 لتر,1 لتر,2500,3000,120,🧴
أساسيات المنزل,تنظيف المنزل,ديتول مطهّر متعدد الأغراض 750 مل,750 مل,4000,,90,🧴
أساسيات المنزل,تنظيف المنزل,كلوركس مبيّض سائل 2 لتر,2 لتر,3500,4500,110,🫧
أساسيات المنزل,تنظيف المنزل,هاربيك منظّف حمّامات جل 500 مل,500 مل,2750,,80,🚽
أساسيات المنزل,تنظيف المنزل,أجاكس منظّف زجاج برّاق 500 مل,500 مل,2000,2500,95,🪟
أساسيات المنزل,تنظيف المنزل,ديتول معطّر جو رذاذ لافندر 300 مل,300 مل,3250,,70,🌬️
أساسيات المنزل,تنظيف المنزل,مسحوق تجليخ كوميت برائحة الليمون 500 غ,500 غ,1500,2000,130,🧽
أساسيات المنزل,تنظيف المنزل,ليفة جلي معدنية ستيل (3 قطع),3 قطع,1000,,150,🧽
أساسيات المنزل,تنظيف المنزل,قفازات تنظيف مطاطية مقاس وسط (زوج),زوج,1750,,100,🧤
أساسيات المنزل,تنظيف المنزل,معطّر أرضيات فابريك صنوبر 1 لتر,1 لتر,2250,3000,85,🌲
أساسيات المنزل,تنظيف المنزل,مكنسة بلاستيك مع جاروف غبار,طقم,5000,6500,60,🧹
أساسيات المنزل,منظفات الغسيل,أريال مسحوق غسيل أوتوماتيك 3 كغ,3 كغ,9000,11000,75,🧺
أساسيات المنزل,منظفات الغسيل,برسيل مسحوق غسيل يدوي 1 كغ,1 كغ,3500,,120,🧺
أساسيات المنزل,منظفات الغسيل,تايد مسحوق غسيل برائحة الورد 4.5 كغ,4.5 كغ,13000,15000,50,🌸
أساسيات المنزل,منظفات الغسيل,أريال جل غسيل سائل أوتوماتيك 2 لتر,2 لتر,8500,,65,🧴
أساسيات المنزل,منظفات الغسيل,داوني منعّم أقمشة أزرق 2 لتر,2 لتر,6000,7500,80,💧
أساسيات المنزل,منظفات الغسيل,كومفورت منعّم أقمشة مركّز 1 لتر,1 لتر,4250,,90,💧
أساسيات المنزل,منظفات الغسيل,فانيش مزيل بقع للملابس الملوّنة 1 لتر,1 لتر,7000,8500,55,🧴
أساسيات المنزل,منظفات الغسيل,كلين منظّف غسيل سائل عبوة عائلية 3 لتر,3 لتر,7500,,70,🧴
أساسيات المنزل,منظفات الغسيل,أكياس غسيل شبكية للملابس الحساسة (طقم 3),طقم,3000,4000,100,🧷
أساسيات المنزل,منظفات الغسيل,بونص مسحوق غسيل يدوي 2.5 كغ,2.5 كغ,5500,,85,🧺
أساسيات المنزل,منظفات الغسيل,مشابك غسيل بلاستيكية (24 قطعة),24 قطعة,1500,2000,140,📎
أساسيات المنزل,أدوات المطبخ والمائدة,فيري سائل غسيل صحون ليمون 750 مل,750 مل,2500,3250,130,🍋
